key,agency,level,min,max
Treasury,Treasury,APS5,83596,88949
TSRA,Torres Strait Regional Authority,APS5,77136,81795
WGEA,Workplace Gender Equality Agency,APS5,81474,86329
AAT,Administrative Appeals Tribunal,APS6,86055,98557
ABCC,Australian Building & Construction Commission,APS6,92628,106551
ABS,Australian Bureau of Statistics,APS6,88663,100130
ACCC,Australian Competition & Consumer Commission,APS6,92228,103370
ACIAR,Australian Centre for International Agricultural Research,APS6,89905,99381
ACIC,Australian Criminal Intelligence Commission,APS6,86452,97832
ACLEI,Australian Commission for Law Enforcement Integrity,APS6,86097,98904
ACMA,Australian Communications & Media Authority,APS6,87686,99024
ACQSC,Aged Care Quality & Safety Commission,APS6,89394,100849
ACSQHC,Australian Commission on Safety & Quality in Health Care,APS6,91084,102756
ADHA,Australian Digital Health Agency,APS6,90823,102464
AEC,Australian Electoral Commission,APS6,87635,98223
AFMA,Australian Fisheries Management Authority,APS6,93273,103143
AFSA,Australian Financial Security Authority,APS6,90357,101277
AG,Attorney-General's Department,APS6,91086,101605
AHL,Aboriginal Hostels Ltd,APS6,82715,86978
AHRC,Australian Human Rights Commission,APS6,85826,98079
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,APS6,80249,91279
AIFS,Australian Institute of Family Studies,APS6,87092,97092
AIHW,Australian Institute of Health & Welfare,APS6,90505,100051
ALRC,Australian Law Reform Commission,APS6,91134,105648
ANAO,Australian National Audit Office,APS6,93935,107965
ANMM,Australian National Maritime Museum,APS6,78009,91404
APSC,Australian Public Service Commission,APS6,91250,99064
APVMA,Australian Pesticides & Veterinary Medicines Authority,APS6,97212,108521
ARC,Australian Research Council,APS6,86598,96712
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,APS6,89288,102130
ASEA,Asbestos Safety & Eradication Agency,APS6,92012,101182
ASQA,Australian Skills Quality Authority,APS6,89459,96855
ATO,Australian Taxation Office,APS6,90611,104038
ATSB,Australian Transport Safety Bureau,APS6,88535,101047
AUSTRAC,Australian Transaction Reports & Analysis Centre,APS6,93840,106905
AUSTRADE,Austrade,APS6,93859,101903
AWM,Australian War Memorial,APS6,85034,95142
BOM,Bureau of Meteorology,APS6,84670,96267
Cancer,Cancer Australia,APS6,89124,100547
CCA,Climate Change Authority,APS6,82282,97472
CER,Clean Energy Regulator,APS6,91619,104302
CGC,Commonwealth Grants Commission,APS6,93570,98749
Comcare,Comcare,APS6,92620,102773
DAFF,"Department of Agriculture, Fisheries & Forestry",APS6,88408,100378
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",APS6,88408,100378
Defence,Department of Defence,APS6,88175,100724
DESE,Department of Education,APS6,94332,103731
DEWR,Department of Employment & Workplace Relations,APS6,94332,103731
DFAT,Department of Foreign Affairs & Trade,APS6,91617,103015
DFSVA,"Domestic, Family & Sexual Violence Commission",APS6,88490,99464
DHA,Defence Housing Australia,APS6,93834,107874
DPP,Office of the Director of Public Prosecutions,APS6,85203,97878
DSS,Department of Social Services,APS6,91145,102448
DTA,Digital Transformation Agency,APS6,88747,104229
DVA,Department of Veterans' Affairs,APS6,93976,106713
FED,Federal Court of Australia,APS6,82689,94985
Finance,Department of Finance,APS6,90802,110821
FSANZ,Food Standards Australia New Zealand,APS6,87718,99774
FWC,Fair Work Commission,APS6,89938,103455
GBRMPA,Great Barrier Reef Marine Park Authority,APS6,86931,98910
Geoscience,Geoscience Australia,APS6,90555,104820
Health,Department of Health,APS6,91092,102765
Home Affairs,Department of Home Affairs,APS6,84335,99779
Industry,"Department of Industry, Science & Resources",APS6,91444,99167
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",APS6,88466,99155
IPA,IP Australia,APS6,88368,100383
IPEA,Independent Parliamentary Expenses Authority,APS6,89022,108649
MDBA,Murray-Darling Basin Authority,APS6,94784,104319
NAA,National Archives of Australia,APS6,89247,99025
NBA,National Blood Authority,APS6,89995,101526
NCA,National Capital Authority,APS6,83007,99579
NDIA,National Disability Insurance Agency,APS6,89612,99072
NDISQSC,NDIS Quality & Safeguards Commission,APS6,89445,100537
NEMA,National Recovery & Resilience Agency,APS6,87793,98660
NFRA,National Faster Rail Agency,APS6,88466,99155
NFSA,National Film & Sound Archive of Australia,APS6,85168,95084
NHFB,National Health Funding Body,APS6,89385,100840
NHMRC,National Health & Medical Research Council,APS6,88442,99774
NIAA,National Indigenous Australians Agency,APS6,91072,102344
NLA,National Library of Australia,APS6,88349,99425
NMA,National Museum of Australia,APS6,84406,94604
NMHC,National Mental Health Commission,APS6,91529,102859
NPG,National Portrait Gallery of Australia,APS6,89147,104601
NQWIA,North Queensland Water Infrastructure Authority,APS6,88466,99155
OAIC,Office of the Australian Information Commissioner,APS6,89781,98866
OFWO,Fair Work Ombudsman,APS6,93090,107015
OIGIS,Office of the Inspector-General of Intelligence & Security,APS6,92860,104354
OIGOT,Inspector-General of Taxation,APS6,94288,114232
OMB,Office of the Commonwealth Ombudsman,APS6,84360,96902
ONI,Office of National Intelligence,APS6,93967,106919
OPC,Office of Parliamentary Counsel,APS6,89620,102949
OPH,Old Parliament House,APS6,83382,96004
OTA,Organ & Tissue Authority,APS6,91093,102767
PC,Productivity Commission,APS6,84377,102944
PMC,Department of the Prime Minister & Cabinet,APS6,91072,102344
PSR,Professional Services Review,APS6,87431,102709
RAM,Royal Australian Mint,APS6,91841,100348
SA,Screen Australia,APS6,87457,99216
Services Australia,Services Australia,APS6,87735,101451
SIA,Sport Integrity Australia,APS6,98106,107069
SWA,Safe Work Australia,APS6,94813,104457
TEQSA,Tertiary Education Quality & Standards Agency,APS6,90838,99891
Treasury,Treasury,APS6,94300,114243
TSRA,Torres Strait Regional Authority,APS6,83311,95699
WGEA,Workplace Gender Equality Agency,APS6,87791,100288
AAT,Administrative Appeals Tribunal,EL1,108997,128291
ABCC,Australian Building & Construction Commission,EL1,117915,127295
ABS,Australian Bureau of Statistics,EL1,108931,125922
ACCC,Australian Competition & Consumer Commission,EL1,114589,126815
ACIAR,Australian Centre for International Agricultural Research,EL1,113600,119395
ACIC,Australian Criminal Intelligence Commission,EL1,108995,131404
ACLEI,Australian Commission for Law Enforcement Integrity,EL1,109816,133453
ACMA,Australian Communications & Media Authority,EL1,106545,120152
ACQSC,Aged Care Quality & Safety Commission,EL1,109853,125288
ACSQHC,Australian Commission on Safety & Quality in Health Care,EL1,111929,127657
ADHA,Australian Digital Health Agency,EL1,111611,127294
AEC,Australian Electoral Commission,EL1,109443,123331
AFMA,Australian Fisheries Management Authority,EL1,114739,127526
AFSA,Australian Financial Security Authority,EL1,107643,126714
AG,Attorney-General's Department,EL1,110365,134286
AHL,Aboriginal Hostels Ltd,EL1,104763,108169
AHRC,Australian Human Rights Commission,EL1,107355,120035
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,EL1,100147,109855
AIFS,Australian Institute of Family Studies,EL1,108357,119661
AIHW,Australian Institute of Health & Welfare,EL1,110698,123486
ALRC,Australian Law Reform Commission,EL1,110931,128602
ANAO,Australian National Audit Office,EL1,115286,129915
ANMM,Australian National Maritime Museum,EL1,100005,110150
APSC,Australian Public Service Commission,EL1,111086,127318
APVMA,Australian Pesticides & Veterinary Medicines Authority,EL1,117630,132463
ARC,Australian Research Council,EL1,110607,119109
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,EL1,110305,126917
ASEA,Asbestos Safety & Eradication Agency,EL1,113144,125048
ASQA,Australian Skills Quality Authority,EL1,109098,119701
ATO,Australian Taxation Office,EL1,116062,126533
ATSB,Australian Transport Safety Bureau,EL1,111303,122861
AUSTRAC,Australian Transaction Reports & Analysis Centre,EL1,114680,130554
AUSTRADE,Austrade,EL1,108527,122078
AWM,Australian War Memorial,EL1,108251,116985
BOM,Bureau of Meteorology,EL1,103085,116115
Cancer,Cancer Australia,EL1,109521,124912
CCA,Climate Change Authority,EL1,101270,129017
CER,Clean Energy Regulator,EL1,112758,128263
CGC,Commonwealth Grants Commission,EL1,118717,124807
Comcare,Comcare,EL1,114551,136493
DAFF,"Department of Agriculture, Fisheries & Forestry",EL1,115663,124403
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",EL1,115663,124403
Defence,Department of Defence,EL1,111441,125705
DESE,Department of Education,EL1,115996,128200
DEWR,Department of Employment & Workplace Relations,EL1,115996,128200
DFAT,Department of Foreign Affairs & Trade,EL1,114090,127619
DFSVA,"Domestic, Family & Sexual Violence Commission",EL1,110255,125152
DHA,Defence Housing Australia,EL1,113905,139011
DPP,Office of the Director of Public Prosecutions,EL1,107916,117775
DSS,Department of Social Services,EL1,113563,128907
DTA,Digital Transformation Agency,EL1,114880,127348
DVA,Department of Veterans' Affairs,EL1,118220,129820
FED,Federal Court of Australia,EL1,105834,114298
Finance,Department of Finance,EL1,117538,142337
FSANZ,Food Standards Australia New Zealand,EL1,109721,122221
FWC,Fair Work Commission,EL1,114492,123903
GBRMPA,Great Barrier Reef Marine Park Authority,EL1,108681,119117
Geoscience,Geoscience Australia,EL1,109001,123220
Health,Department of Health,EL1,111940,127670
Home Affairs,Department of Home Affairs,EL1,106527,124931
Industry,"Department of Industry, Science & Resources",EL1,113231,120249
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",EL1,113631,119891
IPA,IP Australia,EL1,110917,124837
IPEA,Independent Parliamentary Expenses Authority,EL1,115232,139545
MDBA,Murray-Darling Basin Authority,EL1,113509,124875
NAA,National Archives of Australia,EL1,110409,118830
NBA,National Blood Authority,EL1,111076,126156
NCA,National Capital Authority,EL1,105092,115762
NDIA,National Disability Insurance Agency,EL1,111652,122202
NDISQSC,NDIS Quality & Safeguards Commission,EL1,111445,126503
NEMA,National Recovery & Resilience Agency,EL1,112822,128586
NFRA,National Faster Rail Agency,EL1,113631,119891
NFSA,National Film & Sound Archive of Australia,EL1,107660,115154
NHFB,National Health Funding Body,EL1,109842,125277
NHMRC,National Health & Medical Research Council,EL1,108995,123999
NIAA,National Indigenous Australians Agency,EL1,117036,133387
NLA,National Library of Australia,EL1,106667,126815
NMA,National Museum of Australia,EL1,109545,117577
NMHC,National Mental Health Commission,EL1,117623,134058
NPG,National Portrait Gallery of Australia,EL1,110753,130441
NQWIA,North Queensland Water Infrastructure Authority,EL1,113631,119891
OAIC,Office of the Australian Information Commissioner,EL1,113148,121034
OFWO,Fair Work Ombudsman,EL1,118379,127756
OIGIS,Office of the Inspector-General of Intelligence & Security,EL1,112169,125043
OIGOT,Inspector-General of Taxation,EL1,122989,141081
OMB,Office of the Commonwealth Ombudsman,EL1,108142,116777
ONI,Office of National Intelligence,EL1,115942,131049
OPC,Office of Parliamentary Counsel,EL1,113889,138290
OPH,Old Parliament House,EL1,102838,116250
OTA,Organ & Tissue Authority,EL1,111942,127672
PC,Productivity Commission,EL1,106871,135338
PMC,Department of the Prime Minister & Cabinet,EL1,117036,133387
PSR,Professional Services Review,EL1,110472,123350
RAM,Royal Australian Mint,EL1,112147,125017
SA,Screen Australia,EL1,108995,120640
Services Australia,Services Australia,EL1,109738,121598
SIA,Sport Integrity Australia,EL1,112719,122849
SWA,Safe Work Australia,EL1,116543,129594
TEQSA,Tertiary Education Quality & Standards Agency,EL1,111699,123455
Treasury,Treasury,EL1,123005,141099
TSRA,Torres Strait Regional Authority,EL1,106802,129949
WGEA,Workplace Gender Equality Agency,EL1,113545,122526
AAT,Administrative Appeals Tribunal,EL2,130512,139933
ABCC,Australian Building & Construction Commission,EL2,135960,159117
ABS,Australian Bureau of Statistics,EL2,135992,163601
ACCC,Australian Competition & Consumer Commission,EL2,132847,155684
ACIAR,Australian Centre for International Agricultural Research,EL2,141700,153978
ACIC,Australian Criminal Intelligence Commission,EL2,136177,153430
ACLEI,Australian Commission for Law Enforcement Integrity,EL2,135002,152120
ACMA,Australian Communications & Media Authority,EL2,128896,152477
ACQSC,Aged Care Quality & Safety Commission,EL2,131064,155174
ACSQHC,Australian Commission on Safety & Quality in Health Care,EL2,133542,158107
ADHA,Australian Digital Health Agency,EL2,133163,157657
AEC,Australian Electoral Commission,EL2,129391,151927
AFMA,Australian Fisheries Management Authority,EL2,134613,156938
AFSA,Australian Financial Security Authority,EL2,130358,154288
AG,Attorney-General's Department,EL2,134286,152949
AHL,Aboriginal Hostels Ltd,EL2,124498,127769
AHRC,Australian Human Rights Commission,EL2,129072,151691
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,EL2,119011,132988
AIFS,Australian Institute of Family Studies,EL2,127024,148915
AIHW,Australian Institute of Health & Welfare,EL2,135473,152248
ALRC,Australian Law Reform Commission,EL2,149082,158160
ANAO,Australian National Audit Office,EL2,132387,165222
ANMM,Australian National Maritime Museum,EL2,115344,130768
APSC,Australian Public Service Commission,EL2,139290,156591
APVMA,Australian Pesticides & Veterinary Medicines Authority,EL2,138052,158375
ARC,Australian Research Council,EL2,132714,149595
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,EL2,134786,153061
ASEA,Asbestos Safety & Eradication Agency,EL2,133143,159821
ASQA,Australian Skills Quality Authority,EL2,132945,152988
ATO,Australian Taxation Office,EL2,139677,158314
ATSB,Australian Transport Safety Bureau,EL2,132267,150965
AUSTRAC,Australian Transaction Reports & Analysis Centre,EL2,133669,157930
AUSTRADE,Austrade,EL2,126959,171842
AWM,Australian War Memorial,EL2,141167,157477
BOM,Bureau of Meteorology,EL2,125428,140871
Cancer,Cancer Australia,EL2,130671,154705
CCA,Climate Change Authority,EL2,120890,162589
CER,Clean Energy Regulator,EL2,134607,158565
CGC,Commonwealth Grants Commission,EL2,146938,157834
Comcare,Comcare,EL2,143312,162623
DAFF,"Department of Agriculture, Fisheries & Forestry",EL2,136118,158149
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",EL2,136118,158149
Defence,Department of Defence,EL2,129391,155309
DESE,Department of Education,EL2,136498,163848
DEWR,Department of Employment & Workplace Relations,EL2,136498,163848
DFAT,Department of Foreign Affairs & Trade,EL2,137833,155667
DFSVA,"Domestic, Family & Sexual Violence Commission",EL2,129952,153215
DHA,Defence Housing Australia,EL2,141154,173683
DPP,Office of the Director of Public Prosecutions,EL2,130029,147177
DSS,Department of Social Services,EL2,133851,157811
DTA,Digital Transformation Agency,EL2,133272,157978
DVA,Department of Veterans' Affairs,EL2,142574,160474
FED,Federal Court of Australia,EL2,122007,142988
Finance,Department of Finance,EL2,143499,168942
FSANZ,Food Standards Australia New Zealand,EL2,129527,159657
FWC,Fair Work Commission,EL2,132011,154496
GBRMPA,Great Barrier Reef Marine Park Authority,EL2,127284,150416
Geoscience,Geoscience Australia,EL2,129536,161431
Health,Department of Health,EL2,133555,158121
Home Affairs,Department of Home Affairs,EL2,126223,164257
Industry,"Department of Industry, Science & Resources",EL2,136550,147019
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",EL2,134056,150647
IPA,IP Australia,EL2,135875,158395
IPEA,Independent Parliamentary Expenses Authority,EL2,140684,165628
MDBA,Murray-Darling Basin Authority,EL2,132041,155615
NAA,National Archives of Australia,EL2,132490,143346
NBA,National Blood Authority,EL2,132002,148721
NCA,National Capital Authority,EL2,124046,159328
NDIA,National Disability Insurance Agency,EL2,131599,149410
NDISQSC,NDIS Quality & Safeguards Commission,EL2,131355,154869
NEMA,National Recovery & Resilience Agency,EL2,131317,156288
NFRA,National Faster Rail Agency,EL2,134056,150647
NFSA,National Film & Sound Archive of Australia,EL2,127794,141745
NHFB,National Health Funding Body,EL2,131052,155160
NHMRC,National Health & Medical Research Council,EL2,129668,153520
NIAA,National Indigenous Australians Agency,EL2,136220,162124
NLA,National Library of Australia,EL2,130299,154789
NMA,National Museum of Australia,EL2,128087,142293
NMHC,National Mental Health Commission,EL2,136905,162939
NPG,National Portrait Gallery of Australia,EL2,134701,152977
NQWIA,North Queensland Water Infrastructure Authority,EL2,134056,150647
OAIC,Office of the Australian Information Commissioner,EL2,131425,149988
OFWO,Fair Work Ombudsman,EL2,136421,159580
OIGIS,Office of the Inspector-General of Intelligence & Security,EL2,130556,148759
OIGOT,Inspector-General of Taxation,EL2,150228,172410
OMB,Office of the Commonwealth Ombudsman,EL2,125917,142721
ONI,Office of National Intelligence,EL2,133596,159229
OPC,Office of Parliamentary Counsel,EL2,131006,157718
OPH,Old Parliament House,EL2,130333,153125
OTA,Organ & Tissue Authority,EL2,133559,158125
PC,Productivity Commission,EL2,129581,162555
PMC,Department of the Prime Minister & Cabinet,EL2,136220,162124
PSR,Professional Services Review,EL2,123756,153043
RAM,Royal Australian Mint,EL2,133272,149008
SA,Screen Australia,EL2,129527,149567
Services Australia,Services Australia,EL2,126991,151019
SIA,Sport Integrity Australia,EL2,127429,153767
SWA,Safe Work Australia,EL2,137335,164622
TEQSA,Tertiary Education Quality & Standards Agency,EL2,131443,157782
Treasury,Treasury,EL2,150245,172429
TSRA,Torres Strait Regional Authority,EL2,129949,148009
WGEA,Workplace Gender Equality Agency,EL2,132244,150649
